id,round,categorie,type_limite,transcription,gold_v2
rec_0011,1,limite,question,"Vous comptez livrer la commande à quelle heure, cette fois ?",negatif
rec_0012,1,positif,,"L'accueil à la clinique était chaleureux et rapide, je suis reparti rassuré.",positif
rec_0015,1,negatif,,"Je suis très déçu par la qualité du tissu, il s'est déchiré au premier lavage.",negatif
rec_0017,1,negatif,,"On nous a encore menti sur les délais, j'en ai assez de ces promesses.",negatif
rec_0022,1,limite,neutre_flou,Le chantier du pont est terminé depuis la semaine dernière.,neutre
rec_0026,1,positif,,"Le nouveau marché de Hédzranawoé est vraiment bien organisé, on trouve tout sans se fatiguer.",positif
rec_0027,1,negatif,,"Trois pannes en une semaine, ce groupe électrogène est une catastrophe.",negatif
rec_0029,1,negatif,,"L'application plante sans arrêt, c'est devenu inutilisable.",negatif
rec_0030,1,negatif,,"Le service était vraiment décevant, on a attendu deux heures pour rien.",negatif
rec_0033,1,positif,,"Son restaurant mérite sa réputation, le poisson braisé est excellent.",positif
rec_0035,1,limite,rapporte,"Selon ma voisine, le nouveau dispensaire serait une vraie réussite.",positif
rec_0036,1,limite,ironie,"Magnifique, le taxi est encore tombé en panne en plein soleil.",negatif
rec_0041,1,limite,mauvaise_nouvelle,Le prix du sac de ciment a augmenté de quinze pour cent ce mois-ci.,neutre
rec_0045,1,negatif,,Les coupures d'eau rendent la vie impossible dans le quartier.,negatif
rec_0049,1,negatif,,"Cette route est un calvaire, les nids-de-poule ont abîmé ma moto.",negatif
rec_0061,1,negatif,,J'ai perdu toute ma récolte de maïs à cause des chenilles.,negatif
rec_0062,1,limite,mixte,"Le service était lent, mais le plat valait vraiment le déplacement.",positif
rec_0065,1,positif,,"Le concert d'hier soir était magnifique, les gens ont dansé jusqu'au bout.",positif
rec_0079,1,negatif,,"La viande n'était pas fraîche, tout le monde a été malade le soir.",negatif
rec_0081,1,neutre,,"Le magasin ouvre de huit heures à dix-huit heures, du lundi au samedi.",neutre
rec_0086,1,positif,,"Quelle belle surprise, le colis est arrivé deux jours en avance.",positif
rec_0090,1,negatif,,Le guichetier m'a parlé avec un mépris que je n'oublierai pas.,negatif
rec_0093,1,positif,,"Ce tailleur coud très bien, je recommande les yeux fermés.",positif
rec_0096,1,neutre,,Le bus de Kpalimé passe par Adéta avant de rejoindre la gare routière.,neutre
rec_0102,1,positif,,"La formation m'a beaucoup apporté, je me sens enfin à l'aise avec l'ordinateur.",positif
rec_0103,1,limite,neutre_flou,Il n'a toujours pas répondu à mon message depuis mardi.,negatif
rec_0104,1,positif,,"Ma fille a réussi son concours d'entrée, toute la maison est en joie.",positif
rec_0110,1,neutre,,Le dossier demandé comporte une photocopie de la carte d'identité et deux photos.,neutre
rec_0114,1,negatif,,"Ce chauffeur conduit n'importe comment, j'ai eu peur pendant tout le trajet.",negatif
rec_0115,1,positif,,"Grâce à la nouvelle pompe, on a de l'eau propre tous les matins, c'est un grand soulagement.",positif
rec_0116,1,neutre,,Il faut compter environ trois heures de route entre Lomé et Atakpamé.,neutre
rec_0121,1,limite,rapporte,Le client a dit qu'il était très satisfait de la livraison.,positif
rec_0128,1,neutre,,L'atelier de couture se trouve juste derrière la station-service.,neutre
rec_0145,1,neutre,,La réunion du comité est prévue jeudi à neuf heures dans la salle habituelle.,neutre
rec_0147,1,positif,,Je suis très fier du travail des jeunes de notre quartier.,positif
rec_0148,1,positif,,"Franchement, l'équipe a fait un travail remarquable sur ce projet.",positif
rec_0152,1,limite,mixte,"L'hôtel est propre et bien situé, dommage que le bruit de la rue gâche les nuits.",negatif
rec_0155,1,limite,ironie,"Bravo, troisième coupure de courant de la journée, on avance bien.",negatif
rec_0166,1,negatif,,"Le professeur humilie les élèves devant toute la classe, c'est inacceptable.",negatif
rec_0180,1,positif,,"La connexion est redevenue stable, ça fait plaisir de travailler dans ces conditions.",positif
rec_0016,2,limite,mixte,"La salle était bondée et bruyante, mais la conférence elle-même était passionnante.",positif
rec_0021,2,limite,mauvaise_nouvelle,La station a annoncé une hausse du prix du carburant pour septembre.,neutre
rec_0034,2,positif,,"Cette bourse va changer la vie de mon fils, on est très reconnaissants.",positif
rec_0038,2,neutre,,La saison des pluies commence généralement vers la mi-avril dans la région.,neutre
rec_0044,2,negatif,,Le colis est arrivé cassé et personne ne veut me rembourser.,negatif
rec_0047,2,positif,,Le nouveau moulin fait gagner un temps précieux aux femmes du village.,positif
rec_0069,2,negatif,,"Je regrette cet achat, la batterie se vide en une heure.",negatif
rec_0080,2,positif,,"Le médecin a pris le temps de tout expliquer, je suis sorti rassuré et confiant.",positif
rec_0084,2,negatif,,Les moustiques ont rendu la soirée insupportable malgré les spirales.,negatif
rec_0085,2,limite,ironie,"Formidable, la pluie a choisi exactement l'heure de la cérémonie.",negatif
rec_0087,2,limite,question,Tu peux me confirmer l'heure de la réunion de demain ?,neutre
rec_0107,2,neutre,,"Le formulaire se retire au deuxième étage, bureau douze.",neutre
rec_0119,2,negatif,,"Cette imprimante est une plaie, elle bloque une feuille sur deux.",negatif
rec_0123,2,negatif,,"Le carrefour est devenu dangereux, deux accidents rien que cette semaine.",negatif
rec_0127,2,positif,,"La coopérative a doublé sa production, tout le monde est motivé.",positif
rec_0135,2,positif,,"J'ai adoré la pièce de théâtre, les comédiens étaient excellents.",positif
rec_0141,2,neutre,,La pharmacie de garde change chaque dimanche à minuit.,neutre
rec_0153,2,negatif,,"Encore une réunion annulée à la dernière minute, on perd notre temps.",negatif
rec_0157,2,positif,,"Le stade rénové est superbe, les gradins étaient pleins et joyeux.",positif
rec_0159,2,limite,rapporte,La directrice a déclaré que les résultats de cette année la déçoivent beaucoup.,negatif
