id,transcription
ee_r2_01,[À REMPLIR PAR BABACAR]
ee_r2_02,[À REMPLIR PAR BABACAR]
ee_r2_03,[À REMPLIR PAR BABACAR]
ee_r2_04,[À REMPLIR PAR BABACAR]
ee_r2_05,[À REMPLIR PAR BABACAR]
ee_r2_06,[À REMPLIR PAR BABACAR]
ee_r2_07,[À REMPLIR PAR BABACAR]
ee_r2_08,[À REMPLIR PAR BABACAR]
ee_r2_09,[À REMPLIR PAR BABACAR]
ee_r2_10,[À REMPLIR PAR BABACAR]
ee_r2_11,[À REMPLIR PAR BABACAR]
ee_r2_12,[À REMPLIR PAR BABACAR]
ee_r2_13,[À REMPLIR PAR BABACAR]
ee_r2_14,[À REMPLIR PAR BABACAR]
ee_r2_15,[À REMPLIR PAR BABACAR]
ee_r2_16,[À REMPLIR PAR BABACAR]
ee_r2_17,[À REMPLIR PAR BABACAR]
ee_r2_18,[À REMPLIR PAR BABACAR]
ee_r2_19,[À REMPLIR PAR BABACAR]
ee_r2_20,[À REMPLIR PAR BABACAR]
