id,transcription
rec_0086,"Quelle belle surprise, le colis est arrivé deux jours en avance."
rec_0090,Le guichetier m'a parlé avec un mépris que je n'oublierai pas.
rec_0015,"Je suis très déçu par la qualité du tissu, il s'est déchiré au premier lavage."
rec_0145,La réunion du comité est prévue jeudi à neuf heures dans la salle habituelle.
rec_0022,Le chantier du pont est terminé depuis la semaine dernière.
rec_0102,"La formation m'a beaucoup apporté, je me sens enfin à l'aise avec l'ordinateur."
rec_0033,"Son restaurant mérite sa réputation, le poisson braisé est excellent."
rec_0017,"On nous a encore menti sur les délais, j'en ai assez de ces promesses."
rec_0114,"Ce chauffeur conduit n'importe comment, j'ai eu peur pendant tout le trajet."
rec_0065,"Le concert d'hier soir était magnifique, les gens ont dansé jusqu'au bout."
rec_0029,"L'application plante sans arrêt, c'est devenu inutilisable."
rec_0147,Je suis très fier du travail des jeunes de notre quartier.
rec_0103,Il n'a toujours pas répondu à mon message depuis mardi.
rec_0030,"Le service était vraiment décevant, on a attendu deux heures pour rien."
rec_0128,L'atelier de couture se trouve juste derrière la station-service.
rec_0121,Le client a dit qu'il était très satisfait de la livraison.
rec_0093,"Ce tailleur coud très bien, je recommande les yeux fermés."
rec_0026,"Le nouveau marché de Hédzranawoé est vraiment bien organisé, on trouve tout sans se fatiguer."
rec_0096,Le bus de Kpalimé passe par Adéta avant de rejoindre la gare routière.
rec_0079,"La viande n'était pas fraîche, tout le monde a été malade le soir."
rec_0027,"Trois pannes en une semaine, ce groupe électrogène est une catastrophe."
rec_0049,"Cette route est un calvaire, les nids-de-poule ont abîmé ma moto."
rec_0041,Le prix du sac de ciment a augmenté de quinze pour cent ce mois-ci.
rec_0155,"Bravo, troisième coupure de courant de la journée, on avance bien."
rec_0180,"La connexion est redevenue stable, ça fait plaisir de travailler dans ces conditions."
rec_0104,"Ma fille a réussi son concours d'entrée, toute la maison est en joie."
rec_0166,"Le professeur humilie les élèves devant toute la classe, c'est inacceptable."
rec_0116,Il faut compter environ trois heures de route entre Lomé et Atakpamé.
rec_0011,"Vous comptez livrer la commande à quelle heure, cette fois ?"
rec_0061,J'ai perdu toute ma récolte de maïs à cause des chenilles.
rec_0045,Les coupures d'eau rendent la vie impossible dans le quartier.
rec_0110,Le dossier demandé comporte une photocopie de la carte d'identité et deux photos.
rec_0062,"Le service était lent, mais le plat valait vraiment le déplacement."
rec_0152,"L'hôtel est propre et bien situé, dommage que le bruit de la rue gâche les nuits."
rec_0012,"L'accueil à la clinique était chaleureux et rapide, je suis reparti rassuré."
rec_0115,"Grâce à la nouvelle pompe, on a de l'eau propre tous les matins, c'est un grand soulagement."
rec_0148,"Franchement, l'équipe a fait un travail remarquable sur ce projet."
rec_0081,"Le magasin ouvre de huit heures à dix-huit heures, du lundi au samedi."
rec_0036,"Magnifique, le taxi est encore tombé en panne en plein soleil."
rec_0035,"Selon ma voisine, le nouveau dispensaire serait une vraie réussite."
