id,audio_path,duration_s,sample_rate,channels,language,transcription,speaker_id,region,recorded_at,source
rec_0001,audio/rec_0001.wav,5.3,16000,1,fr,Le chauffeur de taxi recense les familles pour le programme agricole avec l'aide des femmes du quartier.,,Centrale,2026-04-03,radio_communautaire
rec_0002,audio/rec_0002.wav,5.2,16000,1,fr,,spk_039,Savanes,2025-12-08,collecte_terrain
rec_0003,audio/rec_0003.wav,4.5,16000,1,fr,La cÃ©rÃ©monie d'ouverture a rÃ©uni les Ã©lÃ¨ves et les aÃ®nÃ©s du canton.,spk_006,Savanes,2026-07-27,radio_communautaire
rec_0004,audio/rec_0004.wav,6.3,16000,1,fr,La vendeuse du marché a expliqué le nouveau tarif du transport au retour du champ.,spk_023,Plateaux,2026-07-11,collecte_terrain
rec_0005,audio/rec_0005.wav,3.1,16000,1,fr,Notre voisin attend la livraison de ciment depuis lundi.,spk_001,Plateaux,2026-04-10,collecte_terrain
rec_0006,audio/rec_0006.wav,1.5,16000,1,fr,Ensuite alors voilà matin matin pluie marché voilà donc téléphone soleil donc école radio.,spk_021,Centrale,2026-08-16,studio_lome
rec_0007,audio/rec_0007.wav,4.7,8000,1,fr,Mon oncle a expliqué le nouveau tarif du transport pendant la coupure d'électricité.,spk_036,Plateaux,2026-04-14,studio_lome
rec_0101,audio/rec_0101.wav,4.2,16000,1,fr,L'institutrice a expliqué le nouveau tarif du transport malgré la chaleur.,spk_005,Kara,2026-02-05,contribution_mobile
rec_0008,audio/rec_0008.wav,5.7,16000,1,ee,Eye nye ŋkɔ ƒoɖo nya enye be “Afrika dukɔwo ɣia vovo kpokpo”.,spk_059,Maritime,2025-09-21,radio_communautaire
rec_0009,audio/rec_0009.wav,1.6,16000,1,ee,DZOƉA: ŋkeke gbãtɔ - dzoɖaviwo,spk_056,Plateaux,2026-03-06,collecte_terrain
rec_0010,audio/rec_0010.wav,6.9,16000,1,fr,Notre voisin a ouvert une nouvelle boutique près du carrefour au retour du champ.,spk_036,Kara,2025-11-05,contribution_mobile
rec_0011,audio/rec_0011.wav,5.1,16000,1,fr,"Vous comptez livrer la commande à quelle heure, cette fois ?",spk_044,Savanes,2026-04-23,studio_lome
rec_0012,audio/rec_0012.wav,3.7,16000,1,fr,"L'accueil à la clinique était chaleureux et rapide, je suis reparti rassuré.",spk_046,Plateaux,2026-07-28,contribution_mobile
rec_0013,audio/rec_0013.wav,0.2,16000,1,fr,Oui.,spk_037,Centrale,2026-03-28,collecte_terrain
rec_0014,audio/rec_0014.wav,7.6,16000,1,fr,Notre voisin a réparé la pompe du quartier hier soir au retour du champ.,spk_020,Centrale,2026-02-12,contribution_mobile
rec_0015,audio/rec_0015.wav,5.2,16000,1,fr,"Je suis très déçu par la qualité du tissu, il s'est déchiré au premier lavage.",spk_043,Savanes,2026-06-16,contribution_mobile
rec_0016,audio/rec_0016.wav,5.6,16000,1,fr,"La salle était bondée et bruyante, mais la conférence elle-même était passionnante.",spk_048,Savanes,2025-09-08,studio_lome
rec_0017,audio/rec_0017.wav,4.4,16000,1,fr,"On nous a encore menti sur les délais, j'en ai assez de ces promesses.",spk_045,Maritime,2026-06-15,contribution_mobile
rec_0018,audio/rec_0018.wav,7.0,16000,1,fr,La présidente du groupement organise une collecte pour l'école du village sans prévenir personne.,,Savanes,2026-04-21,contribution_mobile
rec_0071,audio/rec_0071.wav,7.9,16000,1,fr,Le chef du village a présenté le calendrier des vaccinations avec l'aide des femmes du quartier.,spk_024,Kara,2026-04-12,contribution_mobile
rec_0019,audio/rec_0019.wav,1.2,16000,1,fr,Famille alors ensuite maison radio téléphone champ champ route champ radio récolte argent alors école.,spk_006,Savanes,2025-12-19,radio_communautaire
rec_0020,audio/rec_0020.wav,2.5,16000,1,ee,Ameɖe gbe Mawu nya ŋdi kɛnyɛ,spk_054,Plateaux,2026-07-29,contribution_mobile
rec_0021,audio/rec_0021.wav,4.2,16000,1,fr,La station a annoncé une hausse du prix du carburant pour septembre.,spk_050,Kara,2026-02-01,radio_communautaire
rec_0022,audio/rec_0022.wav,3.3,16000,1,fr,Le chantier du pont est terminé depuis la semaine dernière.,spk_049,Savanes,2026-07-06,studio_lome
rec_0023,audio/rec_0023.wav,4.5,16000,1,fr,La vendeuse du marché a annoncé la réunion de samedi prochain sans prévenir personne.,,Maritime,2025-11-03,collecte_terrain
rec_0024,audio/rec_0024.wav,47.0,16000,1,fr,Le chauffeur de taxi organise une collecte pour l'école du village. Mon oncle organise une collecte pour l'école du village au retour du champ.,spk_013,Centrale,2025-12-26,radio_communautaire
rec_0025,audio/rec_0025.wav,4.6,16000,1,fr,Le pharmacien recense les familles pour le programme agricole avant la tombée de la nuit.,spk_040,Maritime,2025-09-14,collecte_terrain
rec_0026,audio/rec_0026.wav,5.5,16000,1,fr,"Le nouveau marché de Hédzranawoé est vraiment bien organisé, on trouve tout sans se fatiguer.",spk_041,Savanes,2026-01-02,radio_communautaire
rec_0027,audio/rec_0027.wav,4.0,16000,1,fr,"Trois pannes en une semaine, ce groupe électrogène est une catastrophe.",spk_052,Savanes,2026-07-04,contribution_mobile
rec_0050,audio/rec_0050.wav,7.5,16000,1,fr,La présidente du groupement a réparé la pompe du quartier hier soir sans prévenir personne.,spk_022,Maritime,2026-02-10,contribution_mobile
rec_0028,audio/rec_0028.wav,7.4,16000,1,fr,,spk_006,Centrale,2025-12-27,collecte_terrain
rec_0029,audio/rec_0029.wav,2.4,16000,1,fr,"L'application plante sans arrêt, c'est devenu inutilisable.",spk_044,Plateaux,2026-05-10,contribution_mobile
rec_0030,audio/rec_0030.wav,4.9,16000,1,fr,"Le service était vraiment décevant, on a attendu deux heures pour rien.",spk_041,Kara,2025-12-31,contribution_mobile
rec_0031,audio/rec_0031.wav,0.8,16000,1,fr,Champ ensuite réunion alors voilà argent moto maison pluie demain maison marché.,spk_003,Centrale,2026-03-16,radio_communautaire
rec_0032,audio/rec_0032.wav,4.4,16000,1,fr,Mon oncle a annoncé la réunion de samedi prochain sans prévenir personne.,spk_029,Centrale,2026-05-27,studio_lome
rec_0033,audio/rec_0033.wav,4.0,16000,1,fr,"Son restaurant mérite sa réputation, le poisson braisé est excellent.",spk_049,Centrale,2026-06-26,radio_communautaire
rec_0034,audio/rec_0034.wav,4.3,16000,1,fr,"Cette bourse va changer la vie de mon fils, on est très reconnaissants.",spk_049,Savanes,2026-04-18,studio_lome
rec_0035,audio/rec_0035.wav,3.9,16000,1,fr,"Selon ma voisine, le nouveau dispensaire serait une vraie réussite.",spk_052,Savanes,2025-10-09,contribution_mobile
rec_0036,audio/rec_0036.wav,3.4,16000,1,fr,"Magnifique, le taxi est encore tombé en panne en plein soleil.",spk_042,Maritime,2025-11-30,studio_lome
